expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 41, 49, PRSH, 1380, 8, 172.500000, ZIP, 3820, 2, 1910.000000, 41, 49, 
1, 003000, 37, 101, PRSH, 2545, 8, 318.125000, ZIP, 5955, 2, 2977.500000, 37, 101, 
2, 003000, 29, 201, PRSH, 1533, 8, 191.625000, ZIP, 3687, 2, 1843.500000, 29, 201, 
3, 003000, 29, 163, PRSH, 580, 8, 72.500000, ZIP, 0, 2, 0.000000, 29, 163, 
4, 003000, 40, 41, PRSH, 167, 8, 20.875000, ZIP, 1763, 2, 881.500000, 40, 41, 
5, 003000, 39, 111, PRSH, 1442, 8, 180.250000, ZIP, 3868, 2, 1934.000000, 39, 111, 
6, 003000, 26, 92, PRSH, 3007, 8, 375.875000, ZIP, 8313, 2, 4156.500000, 26, 92, 
7, 003000, 40, 50, PRSH, 882, 8, 110.250000, ZIP, 278, 2, 139.000000, 40, 50, 
8, 003000, 28, 176, PRSH, 1342, 8, 167.750000, ZIP, 9048, 2, 4524.000000, 28, 176, 
9, 003000, 39, 44, PRSH, 407, 8, 50.875000, ZIP, 1623, 2, 811.500000, 39, 44, 
10, 003000, 40, 256, PRSH, 402, 8, 50.250000, ZIP, 1388, 2, 694.000000, 40, 256, 
11, 003000, 39, 46, PRSH, 1694, 8, 211.750000, ZIP, 6256, 2, 3128.000000, 39, 46, 
12, 003000, 29, 102, PRSH, 2876, 8, 359.500000, ZIP, 5864, 2, 2932.000000, 29, 102, 
13, 003000, 40, 41, PRSH, 835, 8, 104.375000, ZIP, 525, 2, 262.500000, 40, 41, 
14, 003000, 39, 269, PRSH, 573, 8, 71.625000, ZIP, 8057, 2, 4028.500000, 39, 269, 
15, 003000, 32, 233, PRSH, 1042, 8, 130.250000, ZIP, 5358, 2, 2679.000000, 32, 233, 
16, 003000, 30, 164, PRSH, 1959, 8, 244.875000, ZIP, 8131, 2, 4065.500000, 30, 164, 
17, 003000, 38, 41, PRSH, 1407, 8, 175.875000, ZIP, 8633, 2, 4316.500000, 38, 41, 
18, 003000, 38, 46, PRSH, 1237, 8, 154.625000, ZIP, 6303, 2, 3151.500000, 38, 46, 
19, 003000, 39, 105, PRSH, 1577, 8, 197.125000, ZIP, 3523, 2, 1761.500000, 39, 105, 
20, 003000, 37, 275, PRSH, 982, 8, 122.750000, ZIP, 8378, 2, 4189.000000, 37, 275, 
21, 003000, 39, 248, PRSH, 208, 8, 26.000000, ZIP, 7542, 2, 3771.000000, 39, 248, 
22, 003000, 25, 42, PRSH, 2629, 8, 328.625000, ZIP, 931, 2, 465.500000, 25, 42, 
23, 003000, 44, 47, PRSH, 1762, 8, 220.250000, ZIP, 1378, 2, 689.000000, 44, 47, 
24, 003000, 40, 83, PRSH, 332, 8, 41.500000, ZIP, 1068, 2, 534.000000, 40, 83, 
25, 003000, 49, 165, PRSH, 2540, 8, 317.500000, ZIP, 830, 2, 415.000000, 49, 165, 
26, 003000, 40, 50, PRSH, 1474, 8, 184.250000, ZIP, 6, 2, 3.000000, 40, 50, 
27, 003000, 27, 51, PRSH, 4620, 8, 577.500000, ZIP, 0, 2, 0.000000, 27, 51, 
28, 003000, 35, 202, PRSH, 1048, 8, 131.000000, ZIP, 9472, 2, 4736.000000, 35, 202, 
29, 003000, 39, 40, PRSH, 523, 8, 65.375000, ZIP, 1717, 2, 858.500000, 39, 40, 
30, 003000, 29, 47, PRSH, 985, 8, 123.125000, ZIP, 6035, 2, 3017.500000, 29, 47, 
31, 003000, 33, 36, PRSH, 1402, 8, 175.250000, ZIP, 5958, 2, 2979.000000, 33, 36, 
32, 003000, 39, 207, PRSH, 2174, 8, 271.750000, ZIP, 3316, 2, 1658.000000, 39, 207, 
33, 003000, 36, 50, PRSH, 930, 8, 116.250000, ZIP, 0, 2, 0.000000, 36, 50, 
34, 003000, 24, 229, PRSH, 1448, 8, 181.000000, ZIP, 4032, 2, 2016.000000, 24, 229, 
35, 003000, 40, 50, PRSH, 566, 8, 70.750000, ZIP, 194, 2, 97.000000, 40, 50, 
36, 003000, 39, 157, PRSH, 1889, 8, 236.125000, ZIP, 5911, 2, 2955.500000, 39, 157, 
37, 003000, 40, 193, PRSH, 784, 8, 98.000000, ZIP, 5946, 2, 2973.000000, 40, 193, 
38, 003000, 49, 50, PRSH, 7611, 8, 951.375000, ZIP, 49, 2, 24.500000, 49, 50, 
39, 003000, 39, 44, PRSH, 991, 8, 123.875000, ZIP, 669, 2, 334.500000, 39, 44, 
40, 003000, 50, 51, PRSH, 1090, 8, 136.250000, ZIP, 0, 2, 0.000000, 50, 51, 
41, 003000, 40, 193, PRSH, 1984, 8, 248.000000, ZIP, 6026, 2, 3013.000000, 40, 193, 
42, 003000, 35, 218, PRSH, 2259, 8, 282.375000, ZIP, 1211, 2, 605.500000, 35, 218, 
43, 003000, 50, 199, PRSH, 1050, 8, 131.250000, ZIP, 0, 2, 0.000000, 50, 199, 
44, 003000, 20, 252, PRSH, 1958, 8, 244.750000, ZIP, 972, 2, 486.000000, 20, 252, 
45, 003000, 36, 44, PRSH, 4786, 8, 598.250000, ZIP, 5834, 2, 2917.000000, 36, 44, 
46, 003000, 29, 40, PRSH, 3422, 8, 427.750000, ZIP, 8198, 2, 4099.000000, 29, 40, 
47, 003000, 30, 159, PRSH, 1283, 8, 160.375000, ZIP, 3957, 2, 1978.500000, 30, 159, 
48, 003000, 39, 196, PRSH, 1318, 8, 164.750000, ZIP, 8952, 2, 4476.000000, 39, 196, 
49, 003000, 28, 51, PRSH, 5750, 8, 718.750000, ZIP, 5060, 2, 2530.000000, 28, 51, 
50, 003000, 35, 198, PRSH, 3618, 6, 603.000000, ZIP, 8982, 4, 2245.500000, 35, 198, 
51, 003000, 37, 39, PRSH, 19, 6, 3.166667, ZIP, 491, 4, 122.750000, 37, 39, 
52, 003000, 31, 33, PRSH, 455, 6, 75.833333, ZIP, 365, 4, 91.250000, 31, 33, 
53, 003000, 39, 45, PRSH, 7428, 6, 1238.000000, ZIP, 1352, 4, 338.000000, 39, 45, 
54, 003000, 37, 147, PRSH, 2757, 6, 459.500000, ZIP, 6563, 4, 1640.750000, 37, 147, 
55, 003000, 35, 42, PRSH, 3252, 6, 542.000000, ZIP, 11198, 4, 2799.500000, 35, 42, 
56, 003000, 31, 34, PRSH, 292, 6, 48.666667, ZIP, 508, 4, 127.000000, 31, 34, 
57, 003000, 32, 34, PRSH, 5070, 6, 845.000000, ZIP, 1590, 4, 397.500000, 32, 34, 
58, 003000, 39, 50, PRSH, 1257, 6, 209.500000, ZIP, 3513, 4, 878.250000, 39, 50, 
59, 003000, 39, 40, PRSH, 788, 6, 131.333333, ZIP, 7182, 4, 1795.500000, 39, 40, 
60, 003000, 42, 50, PRSH, 763, 6, 127.166667, ZIP, 1147, 4, 286.750000, 42, 50, 
61, 003000, 29, 40, PRSH, 2571, 6, 428.500000, ZIP, 4869, 4, 1217.250000, 29, 40, 
62, 003000, 38, 40, PRSH, 3161, 6, 526.833333, ZIP, 5109, 4, 1277.250000, 38, 40, 
63, 003000, 29, 39, PRSH, 3097, 6, 516.166667, ZIP, 2293, 4, 573.250000, 29, 39, 
64, 003000, 37, 40, PRSH, 449, 6, 74.833333, ZIP, 2861, 4, 715.250000, 37, 40, 
65, 003000, 37, 38, PRSH, 1372, 6, 228.666667, ZIP, 6948, 4, 1737.000000, 37, 38, 
66, 003000, 29, 40, PRSH, 2795, 6, 465.833333, ZIP, 7085, 4, 1771.250000, 29, 40, 
67, 003000, 20, 40, PRSH, 7611, 6, 1268.500000, ZIP, 4769, 4, 1192.250000, 20, 40, 
68, 003000, 30, 31, PRSH, 0, 6, 0.000000, ZIP, 270, 4, 67.500000, 30, 31, 
69, 003000, 39, 47, PRSH, 698, 6, 116.333333, ZIP, 5512, 4, 1378.000000, 39, 47, 
70, 003000, 39, 50, PRSH, 7232, 6, 1205.333333, ZIP, 5208, 4, 1302.000000, 39, 50, 
71, 003000, 30, 31, PRSH, 1898, 6, 316.333333, ZIP, 6922, 4, 1730.500000, 30, 31, 
72, 003000, 37, 40, PRSH, 424, 6, 70.666667, ZIP, 2276, 4, 569.000000, 37, 40, 
73, 003000, 29, 50, PRSH, 1798, 6, 299.666667, ZIP, 3392, 4, 848.000000, 29, 50, 
74, 003000, 29, 50, PRSH, 1270, 6, 211.666667, ZIP, 3510, 4, 877.500000, 29, 50, 
75, 003000, 33, 34, PRSH, 239, 6, 39.833333, ZIP, 281, 4, 70.250000, 33, 34, 
