expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 38, 147, PRSH, 1334, 8, 166.750000, ZIP, 3436, 2, 1718.000000, 38, 147, 
1, 003000, 40, 227, PRSH, 306, 8, 38.250000, ZIP, 3474, 2, 1737.000000, 40, 227, 
2, 003000, 42, 50, PRSH, 716, 8, 89.500000, ZIP, 214, 2, 107.000000, 42, 50, 
3, 003000, 45, 223, PRSH, 1207, 8, 150.875000, ZIP, 6243, 2, 3121.500000, 45, 223, 
4, 003000, 37, 42, PRSH, 1121, 8, 140.125000, ZIP, 1469, 2, 734.500000, 37, 42, 
5, 003000, 39, 242, PRSH, 1196, 8, 149.500000, ZIP, 6224, 2, 3112.000000, 39, 242, 
6, 003000, 45, 50, PRSH, 1249, 8, 156.125000, ZIP, 1, 2, 0.500000, 45, 50, 
7, 003000, 39, 50, PRSH, 850, 8, 106.250000, ZIP, 8600, 2, 4300.000000, 39, 50, 
8, 003000, 39, 133, PRSH, 1609, 8, 201.125000, ZIP, 6521, 2, 3260.500000, 39, 133, 
9, 003000, 29, 224, PRSH, 1437, 8, 179.625000, ZIP, 9273, 2, 4636.500000, 29, 224, 
10, 003000, 39, 147, PRSH, 1588, 8, 198.500000, ZIP, 1372, 2, 686.000000, 39, 147, 
11, 003000, 24, 50, PRSH, 4798, 8, 599.750000, ZIP, 2, 2, 1.000000, 24, 50, 
12, 003000, 31, 48, PRSH, 1399, 8, 174.875000, ZIP, 5881, 2, 2940.500000, 31, 48, 
13, 003000, 36, 44, PRSH, 1116, 8, 139.500000, ZIP, 8484, 2, 4242.000000, 36, 44, 
14, 003000, 40, 101, PRSH, 2151, 8, 268.875000, ZIP, 5739, 2, 2869.500000, 40, 101, 
15, 003000, 28, 203, PRSH, 2151, 8, 268.875000, ZIP, 3419, 2, 1709.500000, 28, 203, 
16, 003000, 39, 40, PRSH, 814, 8, 101.750000, ZIP, 416, 2, 208.000000, 39, 40, 
17, 003000, 36, 206, PRSH, 1369, 8, 171.125000, ZIP, 6411, 2, 3205.500000, 36, 206, 
18, 003000, 36, 245, PRSH, 3820, 8, 477.500000, ZIP, 0, 2, 0.000000, 36, 245, 
19, 003000, 39, 186, PRSH, 865, 8, 108.125000, ZIP, 7785, 2, 3892.500000, 39, 186, 
20, 003000, 40, 50, PRSH, 413, 8, 51.625000, ZIP, 147, 2, 73.500000, 40, 50, 
21, 003000, 32, 179, PRSH, 1327, 8, 165.875000, ZIP, 1613, 2, 806.500000, 32, 179, 
22, 003000, 39, 163, PRSH, 1052, 8, 131.500000, ZIP, 608, 2, 304.000000, 39, 163, 
23, 003000, 39, 41, PRSH, 1997, 8, 249.625000, ZIP, 863, 2, 431.500000, 39, 41, 
24, 003000, 40, 42, PRSH, 551, 8, 68.875000, ZIP, 719, 2, 359.500000, 40, 42, 
25, 003000, 37, 98, PRSH, 1320, 8, 165.000000, ZIP, 0, 2, 0.000000, 37, 98, 
26, 003000, 40, 50, PRSH, 3039, 8, 379.875000, ZIP, 41, 2, 20.500000, 40, 50, 
27, 003000, 29, 243, PRSH, 2145, 8, 268.125000, ZIP, 5915, 2, 2957.500000, 29, 243, 
