expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 40, 44, PRSH, 592, 8, 74.000000, ZIP, 588, 2, 294.000000, 40, 44, 
1, 003000, 29, 131, PRSH, 2385, 8, 298.125000, ZIP, 835, 2, 417.500000, 29, 131, 
2, 003000, 38, 301, PRSH, 1151, 8, 143.875000, ZIP, 9179, 2, 4589.500000, 38, 301, 
3, 003000, 37, 47, PRSH, 1485, 8, 185.625000, ZIP, 8445, 2, 4222.500000, 37, 47, 
4, 003000, 48, 50, PRSH, 1040, 8, 130.000000, ZIP, 0, 2, 0.000000, 48, 50, 
5, 003000, 35, 171, PRSH, 1418, 8, 177.250000, ZIP, 1432, 2, 716.000000, 35, 171, 
6, 003000, 39, 250, PRSH, 1447, 8, 180.875000, ZIP, 6533, 2, 3266.500000, 39, 250, 
7, 003000, 40, 46, PRSH, 1297, 8, 162.125000, ZIP, 1673, 2, 836.500000, 40, 46, 
8, 003000, 37, 260, PRSH, 1038, 8, 129.750000, ZIP, 8292, 2, 4146.000000, 37, 260, 
9, 003000, 28, 50, PRSH, 978, 8, 122.250000, ZIP, 2, 2, 1.000000, 28, 50, 
10, 003000, 39, 133, PRSH, 1057, 8, 132.125000, ZIP, 1633, 2, 816.500000, 39, 133, 
11, 003000, 37, 84, PRSH, 3902, 8, 487.750000, ZIP, 7948, 2, 3974.000000, 37, 84, 
12, 003000, 43, 44, PRSH, 1066, 8, 133.250000, ZIP, 1464, 2, 732.000000, 43, 44, 
13, 003000, 34, 217, PRSH, 837, 8, 104.625000, ZIP, 8463, 2, 4231.500000, 34, 217, 
14, 003000, 40, 41, PRSH, 346, 8, 43.250000, ZIP, 1244, 2, 622.000000, 40, 41, 
15, 003000, 40, 191, PRSH, 221, 8, 27.625000, ZIP, 4439, 2, 2219.500000, 40, 191, 
16, 003000, 35, 50, PRSH, 480, 8, 60.000000, ZIP, 0, 2, 0.000000, 35, 50, 
17, 003000, 24, 274, PRSH, 1737, 8, 217.125000, ZIP, 893, 2, 446.500000, 24, 274, 
18, 003000, 45, 49, PRSH, 1234, 8, 154.250000, ZIP, 3606, 2, 1803.000000, 45, 49, 
19, 003000, 39, 216, PRSH, 5518, 8, 689.750000, ZIP, 1532, 2, 766.000000, 39, 216, 
20, 003000, 37, 43, PRSH, 1619, 8, 202.375000, ZIP, 8811, 2, 4405.500000, 37, 43, 
21, 003000, 37, 144, PRSH, 778, 8, 97.250000, ZIP, 8602, 2, 4301.000000, 37, 144, 
22, 003000, 36, 198, PRSH, 1019, 8, 127.375000, ZIP, 8661, 2, 4330.500000, 36, 198, 
23, 003000, 18, 27, PRSH, 9192, 8, 1149.000000, ZIP, 5008, 2, 2504.000000, 18, 27, 
24, 003000, 41, 42, PRSH, 4331, 8, 541.375000, ZIP, 1529, 2, 764.500000, 41, 42, 
25, 003000, 36, 256, PRSH, 1300, 8, 162.500000, ZIP, 3570, 2, 1785.000000, 36, 256, 
26, 003000, 48, 242, PRSH, 1377, 8, 172.125000, ZIP, 3853, 2, 1926.500000, 48, 242, 
27, 003000, 38, 39, PRSH, 1002, 8, 125.250000, ZIP, 3258, 2, 1629.000000, 38, 39, 
28, 003000, 46, 265, PRSH, 1551, 8, 193.875000, ZIP, 3539, 2, 1769.500000, 46, 265, 
29, 003000, 45, 49, PRSH, 1148, 8, 143.500000, ZIP, 6872, 2, 3436.000000, 45, 49, 
30, 003000, 18, 49, PRSH, 1121, 8, 140.125000, ZIP, 5219, 2, 2609.500000, 18, 49, 
31, 003000, 42, 94, PRSH, 344, 8, 43.000000, ZIP, 116, 2, 58.000000, 42, 94, 
32, 003000, 32, 209, PRSH, 1880, 8, 235.000000, ZIP, 1310, 2, 655.000000, 32, 209, 
33, 003000, 32, 177, PRSH, 2326, 8, 290.750000, ZIP, 5854, 2, 2927.000000, 32, 177, 
34, 003000, 39, 188, PRSH, 899, 8, 112.375000, ZIP, 5481, 2, 2740.500000, 39, 188, 
35, 003000, 47, 50, PRSH, 1524, 8, 190.500000, ZIP, 16, 2, 8.000000, 47, 50, 
36, 003000, 34, 90, PRSH, 4041, 8, 505.125000, ZIP, 959, 2, 479.500000, 34, 90, 
37, 003000, 34, 49, PRSH, 1065, 8, 133.125000, ZIP, 6065, 2, 3032.500000, 34, 49, 
38, 003000, 38, 264, PRSH, 864, 8, 108.000000, ZIP, 16, 2, 8.000000, 38, 264, 
39, 003000, 38, 50, PRSH, 762, 8, 95.250000, ZIP, 18, 2, 9.000000, 38, 50, 
40, 003000, 33, 78, PRSH, 1537, 8, 192.125000, ZIP, 3, 2, 1.500000, 33, 78, 
41, 003000, 37, 173, PRSH, 1640, 8, 205.000000, ZIP, 1390, 2, 695.000000, 37, 173, 
42, 003000, 32, 51, PRSH, 1520, 8, 190.000000, ZIP, 0, 2, 0.000000, 32, 51, 
43, 003000, 43, 51, PRSH, 945, 8, 118.125000, ZIP, 275, 2, 137.500000, 43, 51, 
44, 003000, 50, 224, PRSH, 1502, 8, 187.750000, ZIP, 1228, 2, 614.000000, 50, 224, 
45, 003000, 39, 50, PRSH, 2050, 8, 256.250000, ZIP, 0, 2, 0.000000, 39, 50, 
46, 003000, 50, 93, PRSH, 966, 8, 120.750000, ZIP, 8564, 2, 4282.000000, 50, 93, 
47, 003000, 39, 46, PRSH, 1599, 8, 199.875000, ZIP, 3981, 2, 1990.500000, 39, 46, 
48, 003000, 29, 234, PRSH, 1417, 8, 177.125000, ZIP, 1393, 2, 696.500000, 29, 234, 
