expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 42, 45, PRSH, 1357, 8, 169.625000, ZIP, 4103, 2, 2051.500000, 42, 45, 
1, 003000, 29, 44, PRSH, 1616, 8, 202.000000, ZIP, 8754, 2, 4377.000000, 29, 44, 
2, 003000, 10, 153, PRSH, 4156, 8, 519.500000, ZIP, 3204, 2, 1602.000000, 10, 153, 
3, 003000, 37, 47, PRSH, 1256, 8, 157.000000, ZIP, 8444, 2, 4222.000000, 37, 47, 
4, 003000, 23, 134, PRSH, 1961, 8, 245.125000, ZIP, 3569, 2, 1784.500000, 23, 134, 
5, 003000, 27, 50, PRSH, 1006, 8, 125.750000, ZIP, 4, 2, 2.000000, 27, 50, 
6, 003000, 39, 198, PRSH, 1342, 8, 167.750000, ZIP, 8828, 2, 4414.000000, 39, 198, 
7, 003000, 37, 42, PRSH, 1602, 8, 200.250000, ZIP, 8288, 2, 4144.000000, 37, 42, 
8, 003000, 32, 203, PRSH, 1974, 8, 246.750000, ZIP, 3456, 2, 1728.000000, 32, 203, 
9, 003000, 50, 175, PRSH, 1700, 8, 212.500000, ZIP, 6480, 2, 3240.000000, 50, 175, 
10, 003000, 39, 50, PRSH, 1002, 8, 125.250000, ZIP, 18, 2, 9.000000, 39, 50, 
11, 003000, 18, 123, PRSH, 1546, 8, 193.250000, ZIP, 8904, 2, 4452.000000, 18, 123, 
12, 003000, 44, 230, PRSH, 924, 8, 115.500000, ZIP, 3756, 2, 1878.000000, 44, 230, 
13, 003000, 29, 143, PRSH, 1390, 8, 173.750000, ZIP, 1740, 2, 870.000000, 29, 143, 
14, 003000, 39, 138, PRSH, 1255, 8, 156.875000, ZIP, 1485, 2, 742.500000, 39, 138, 
15, 003000, 28, 88, PRSH, 1958, 8, 244.750000, ZIP, 1232, 2, 616.000000, 28, 88, 
16, 003000, 30, 299, PRSH, 2147, 8, 268.375000, ZIP, 3423, 2, 1711.500000, 30, 299, 
17, 003000, 50, 178, PRSH, 1298, 8, 162.250000, ZIP, 6822, 2, 3411.000000, 50, 178, 
18, 003000, 31, 49, PRSH, 1186, 8, 148.250000, ZIP, 3904, 2, 1952.000000, 31, 49, 
19, 003000, 40, 53, PRSH, 452, 8, 56.500000, ZIP, 158, 2, 79.000000, 40, 53, 
20, 003000, 43, 64, PRSH, 1538, 8, 192.250000, ZIP, 8212, 2, 4106.000000, 43, 64, 
21, 003000, 29, 158, PRSH, 1852, 8, 231.500000, ZIP, 6238, 2, 3119.000000, 29, 158, 
22, 003000, 40, 42, PRSH, 954, 8, 119.250000, ZIP, 526, 2, 263.000000, 40, 42, 
23, 003000, 33, 40, PRSH, 2056, 8, 257.000000, ZIP, 1264, 2, 632.000000, 33, 40, 
24, 003000, 40, 51, PRSH, 1116, 8, 139.500000, ZIP, 344, 2, 172.000000, 40, 51, 
25, 003000, 44, 50, PRSH, 720, 8, 90.000000, ZIP, 0, 2, 0.000000, 44, 50, 
26, 003000, 39, 274, PRSH, 1381, 8, 172.625000, ZIP, 6479, 2, 3239.500000, 39, 274, 
27, 003000, 40, 50, PRSH, 7238, 8, 904.750000, ZIP, 2, 2, 1.000000, 40, 50, 
28, 003000, 38, 46, PRSH, 1556, 8, 194.500000, ZIP, 6354, 2, 3177.000000, 38, 46, 
29, 003000, 36, 197, PRSH, 5443, 8, 680.375000, ZIP, 2837, 2, 1418.500000, 36, 197, 
30, 003000, 43, 313, PRSH, 1707, 8, 213.375000, ZIP, 8503, 2, 4251.500000, 43, 313, 
31, 003000, 39, 51, PRSH, 482, 8, 60.250000, ZIP, 18, 2, 9.000000, 39, 51, 
32, 003000, 47, 49, PRSH, 1336, 8, 167.000000, ZIP, 1584, 2, 792.000000, 47, 49, 
33, 003000, 48, 207, PRSH, 843, 8, 105.375000, ZIP, 5667, 2, 2833.500000, 48, 207, 
34, 003000, 40, 41, PRSH, 248, 8, 31.000000, ZIP, 2972, 2, 1486.000000, 40, 41, 
35, 003000, 39, 50, PRSH, 1458, 8, 182.250000, ZIP, 22, 2, 11.000000, 39, 50, 
36, 003000, 47, 51, PRSH, 611, 8, 76.375000, ZIP, 6629, 2, 3314.500000, 47, 51, 
37, 003000, 30, 49, PRSH, 1263, 8, 157.875000, ZIP, 6397, 2, 3198.500000, 30, 49, 
38, 003000, 46, 128, PRSH, 1734, 8, 216.750000, ZIP, 1356, 2, 678.000000, 46, 128, 
39, 003000, 38, 171, PRSH, 3650, 8, 456.250000, ZIP, 1570, 2, 785.000000, 38, 171, 
40, 003000, 40, 50, PRSH, 1510, 8, 188.750000, ZIP, 490, 2, 245.000000, 40, 50, 
41, 003000, 26, 101, PRSH, 1953, 8, 244.125000, ZIP, 3377, 2, 1688.500000, 26, 101, 
42, 003000, 46, 72, PRSH, 3408, 8, 426.000000, ZIP, 8292, 2, 4146.000000, 46, 72, 
43, 003000, 40, 42, PRSH, 615, 8, 76.875000, ZIP, 525, 2, 262.500000, 40, 42, 
44, 003000, 29, 318, PRSH, 929, 8, 116.125000, ZIP, 1361, 2, 680.500000, 29, 318, 
45, 003000, 37, 117, PRSH, 1355, 8, 169.375000, ZIP, 1435, 2, 717.500000, 37, 117, 
46, 003000, 25, 157, PRSH, 1340, 8, 167.500000, ZIP, 1270, 2, 635.000000, 25, 157, 
47, 003000, 44, 160, PRSH, 1357, 8, 169.625000, ZIP, 1283, 2, 641.500000, 44, 160, 
48, 003000, 39, 49, PRSH, 1919, 8, 239.875000, ZIP, 3451, 2, 1725.500000, 39, 49, 
49, 003000, 42, 43, PRSH, 417, 8, 52.125000, ZIP, 1063, 2, 531.500000, 42, 43, 
50, 003000, 39, 104, PRSH, 4172, 6, 695.333333, ZIP, 4168, 4, 1042.000000, 39, 104, 
51, 003000, 31, 32, PRSH, 2168, 6, 361.333333, ZIP, 3972, 4, 993.000000, 31, 32, 
52, 003000, 35, 49, PRSH, 1400, 6, 233.333333, ZIP, 5460, 4, 1365.000000, 35, 49, 
53, 003000, 33, 38, PRSH, 7345, 6, 1224.166667, ZIP, 1955, 4, 488.750000, 33, 38, 
54, 003000, 38, 40, PRSH, 3306, 6, 551.000000, ZIP, 3724, 4, 931.000000, 38, 40, 
55, 003000, 40, 50, PRSH, 648, 6, 108.000000, ZIP, 4052, 4, 1013.000000, 40, 50, 
56, 003000, 39, 40, PRSH, 3830, 6, 638.333333, ZIP, 7180, 4, 1795.000000, 39, 40, 
57, 003000, 34, 50, PRSH, 2046, 6, 341.000000, ZIP, 5314, 4, 1328.500000, 34, 50, 
58, 003000, 29, 32, PRSH, 4568, 6, 761.333333, ZIP, 3482, 4, 870.500000, 29, 32, 
59, 003000, 33, 44, PRSH, 2125, 6, 354.166667, ZIP, 6095, 4, 1523.750000, 33, 44, 
60, 003000, 33, 35, PRSH, 4158, 6, 693.000000, ZIP, 3662, 4, 915.500000, 33, 35, 
61, 003000, 37, 93, PRSH, 5580, 6, 930.000000, ZIP, 6450, 4, 1612.500000, 37, 93, 
62, 003000, 34, 41, PRSH, 2593, 6, 432.166667, ZIP, 6777, 4, 1694.250000, 34, 41, 
63, 003000, 29, 35, PRSH, 3772, 6, 628.666667, ZIP, 10908, 4, 2727.000000, 29, 35, 
64, 003000, 35, 37, PRSH, 3361, 6, 560.166667, ZIP, 6029, 4, 1507.250000, 35, 37, 
65, 003000, 37, 39, PRSH, 3215, 6, 535.833333, ZIP, 3325, 4, 831.250000, 37, 39, 
66, 003000, 35, 38, PRSH, 561, 6, 93.500000, ZIP, 1589, 4, 397.250000, 35, 38, 
67, 003000, 38, 41, PRSH, 3078, 6, 513.000000, ZIP, 1672, 4, 418.000000, 38, 41, 
68, 003000, 40, 46, PRSH, 1997, 6, 332.833333, ZIP, 983, 4, 245.750000, 40, 46, 
69, 003000, 29, 50, PRSH, 1436, 6, 239.333333, ZIP, 3304, 4, 826.000000, 29, 50, 
70, 003000, 29, 50, PRSH, 1090, 6, 181.666667, ZIP, 5520, 4, 1380.000000, 29, 50, 
71, 003000, 32, 33, PRSH, 2406, 6, 401.000000, ZIP, 9474, 4, 2368.500000, 32, 33, 
72, 003000, 29, 58, PRSH, 1754, 6, 292.333333, ZIP, 9426, 4, 2356.500000, 29, 58, 
73, 003000, 31, 45, PRSH, 2580, 6, 430.000000, ZIP, 6510, 4, 1627.500000, 31, 45, 
74, 003000, 29, 39, PRSH, 6257, 6, 1042.833333, ZIP, 4863, 4, 1215.750000, 29, 39, 
75, 003000, 46, 48, PRSH, 1345, 6, 224.166667, ZIP, 5295, 4, 1323.750000, 46, 48, 
76, 003000, 39, 40, PRSH, 537, 6, 89.500000, ZIP, 2923, 4, 730.750000, 39, 40, 
77, 003000, 34, 35, PRSH, 4074, 6, 679.000000, ZIP, 6486, 4, 1621.500000, 34, 35, 
78, 003000, 30, 321, PRSH, 3724, 6, 620.666667, ZIP, 12106, 4, 3026.500000, 30, 321, 
79, 003000, 30, 31, PRSH, 0, 6, 0.000000, ZIP, 460, 4, 115.000000, 30, 31, 
80, 003000, 33, 50, PRSH, 854, 6, 142.333333, ZIP, 2376, 4, 594.000000, 33, 50, 
81, 003000, 35, 40, PRSH, 3996, 6, 666.000000, ZIP, 6324, 4, 1581.000000, 35, 40, 
82, 003000, 19, 39, PRSH, 3947, 6, 657.833333, ZIP, 8423, 4, 2105.750000, 19, 39, 
83, 003000, 30, 31, PRSH, 80, 6, 13.333333, ZIP, 480, 4, 120.000000, 30, 31, 
84, 003000, 29, 30, PRSH, 3640, 6, 606.666667, ZIP, 10730, 4, 2682.500000, 29, 30, 
85, 003000, 40, 41, PRSH, 423, 6, 70.500000, ZIP, 837, 4, 209.250000, 40, 41, 
86, 003000, 38, 356, PRSH, 4228, 6, 704.666667, ZIP, 4792, 4, 1198.000000, 38, 356, 
87, 003000, 37, 50, PRSH, 264, 6, 44.000000, ZIP, 1336, 4, 334.000000, 37, 50, 
88, 003000, 36, 38, PRSH, 1542, 6, 257.000000, ZIP, 8678, 4, 2169.500000, 36, 38, 
89, 003000, 38, 40, PRSH, 3176, 6, 529.333333, ZIP, 5264, 4, 1316.000000, 38, 40, 
90, 003000, 36, 37, PRSH, 4213, 6, 702.166667, ZIP, 5497, 4, 1374.250000, 36, 37, 
91, 003000, 29, 40, PRSH, 332, 6, 55.333333, ZIP, 3088, 4, 772.000000, 29, 40, 
92, 003000, 31, 34, PRSH, 55, 6, 9.166667, ZIP, 265, 4, 66.250000, 31, 34, 
93, 003000, 33, 326, PRSH, 4122, 6, 687.000000, ZIP, 6408, 4, 1602.000000, 33, 326, 
94, 003000, 41, 44, PRSH, 1069, 6, 178.166667, ZIP, 5191, 4, 1297.750000, 41, 44, 
95, 003000, 30, 34, PRSH, 36, 6, 6.000000, ZIP, 404, 4, 101.000000, 30, 34, 
96, 003000, 29, 31, PRSH, 4143, 6, 690.500000, ZIP, 11587, 4, 2896.750000, 29, 31, 
97, 003000, 36, 40, PRSH, 2236, 6, 372.666667, ZIP, 3294, 4, 823.500000, 36, 40, 
98, 003000, 38, 43, PRSH, 1626, 6, 271.000000, ZIP, 1114, 4, 278.500000, 38, 43, 
99, 003000, 30, 346, PRSH, 2756, 6, 459.333333, ZIP, 6504, 4, 1626.000000, 30, 346, 
100, 003000, 30, 33, PRSH, 459, 4, 114.750000, ZIP, 2321, 6, 386.833333, 30, 33, 
101, 003000, 28, 30, PRSH, 5799, 4, 1449.750000, ZIP, 1621, 6, 270.166667, 28, 30, 
102, 003000, 20, 22, PRSH, 192, 4, 48.000000, ZIP, 918, 6, 153.000000, 20, 22, 
103, 003000, 28, 29, PRSH, 3419, 4, 854.750000, ZIP, 4471, 6, 745.166667, 28, 29, 
