expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 28, 66, PRSH, 4148, 8, 518.500000, ZIP, 2862, 2, 1431.000000, 28, 66, 
1, 003000, 36, 121, PRSH, 1759, 8, 219.875000, ZIP, 3701, 2, 1850.500000, 36, 121, 
2, 003000, 39, 42, PRSH, 1599, 8, 199.875000, ZIP, 1511, 2, 755.500000, 39, 42, 
3, 003000, 50, 238, PRSH, 879, 8, 109.875000, ZIP, 11, 2, 5.500000, 50, 238, 
4, 003000, 28, 196, PRSH, 1487, 8, 185.875000, ZIP, 1403, 2, 701.500000, 28, 196, 
5, 003000, 19, 199, PRSH, 1513, 8, 189.125000, ZIP, 8867, 2, 4433.500000, 19, 199, 
6, 003000, 38, 229, PRSH, 1531, 8, 191.375000, ZIP, 1489, 2, 744.500000, 38, 229, 
7, 003000, 39, 86, PRSH, 663, 8, 82.875000, ZIP, 8337, 2, 4168.500000, 39, 86, 
8, 003000, 42, 48, PRSH, 634, 8, 79.250000, ZIP, 8076, 2, 4038.000000, 42, 48, 
9, 003000, 39, 299, PRSH, 1730, 8, 216.250000, ZIP, 1280, 2, 640.000000, 39, 299, 
10, 003000, 50, 145, PRSH, 1690, 8, 211.250000, ZIP, 0, 2, 0.000000, 50, 145, 
11, 003000, 29, 131, PRSH, 1650, 8, 206.250000, ZIP, 3610, 2, 1805.000000, 29, 131, 
12, 003000, 39, 41, PRSH, 735, 8, 91.875000, ZIP, 245, 2, 122.500000, 39, 41, 
13, 003000, 37, 176, PRSH, 1648, 8, 206.000000, ZIP, 1312, 2, 656.000000, 37, 176, 
14, 003000, 39, 166, PRSH, 839, 8, 104.875000, ZIP, 1901, 2, 950.500000, 39, 166, 
15, 003000, 29, 312, PRSH, 1031, 8, 128.875000, ZIP, 3969, 2, 1984.500000, 29, 312, 
16, 003000, 39, 161, PRSH, 7097, 8, 887.125000, ZIP, 553, 2, 276.500000, 39, 161, 
17, 003000, 35, 47, PRSH, 1365, 8, 170.625000, ZIP, 6455, 2, 3227.500000, 35, 47, 
18, 003000, 34, 308, PRSH, 1487, 8, 185.875000, ZIP, 3793, 2, 1896.500000, 34, 308, 
19, 003000, 33, 50, PRSH, 2320, 8, 290.000000, ZIP, 0, 2, 0.000000, 33, 50, 
20, 003000, 15, 50, PRSH, 5300, 8, 662.500000, ZIP, 0, 2, 0.000000, 15, 50, 
21, 003000, 38, 134, PRSH, 154, 8, 19.250000, ZIP, 1026, 2, 513.000000, 38, 134, 
22, 003000, 42, 51, PRSH, 1944, 8, 243.000000, ZIP, 576, 2, 288.000000, 42, 51, 
23, 003000, 42, 46, PRSH, 677, 8, 84.625000, ZIP, 1483, 2, 741.500000, 42, 46, 
24, 003000, 40, 42, PRSH, 225, 8, 28.125000, ZIP, 1945, 2, 972.500000, 40, 42, 
25, 003000, 39, 337, PRSH, 1021, 8, 127.625000, ZIP, 1699, 2, 849.500000, 39, 337, 
26, 003000, 47, 244, PRSH, 840, 8, 105.000000, ZIP, 0, 2, 0.000000, 47, 244, 
27, 003000, 29, 93, PRSH, 1403, 8, 175.375000, ZIP, 6027, 2, 3013.500000, 29, 93, 
28, 003000, 39, 45, PRSH, 2053, 8, 256.625000, ZIP, 1397, 2, 698.500000, 39, 45, 
29, 003000, 32, 166, PRSH, 1711, 8, 213.875000, ZIP, 8599, 2, 4299.500000, 32, 166, 
30, 003000, 29, 40, PRSH, 1782, 8, 222.750000, ZIP, 1058, 2, 529.000000, 29, 40, 
31, 003000, 38, 50, PRSH, 7738, 8, 967.250000, ZIP, 2, 2, 1.000000, 38, 50, 
32, 003000, 28, 66, PRSH, 8452, 8, 1056.500000, ZIP, 2878, 2, 1439.000000, 28, 66, 
33, 003000, 48, 142, PRSH, 1813, 8, 226.625000, ZIP, 3727, 2, 1863.500000, 48, 142, 
34, 003000, 29, 58, PRSH, 2725, 8, 340.625000, ZIP, 6065, 2, 3032.500000, 29, 58, 
35, 003000, 38, 50, PRSH, 2162, 8, 270.250000, ZIP, 8, 2, 4.000000, 38, 50, 
36, 003000, 39, 42, PRSH, 2084, 8, 260.500000, ZIP, 5826, 2, 2913.000000, 39, 42, 
37, 003000, 38, 223, PRSH, 1304, 8, 163.000000, ZIP, 5786, 2, 2893.000000, 38, 223, 
38, 003000, 29, 42, PRSH, 2768, 8, 346.000000, ZIP, 3182, 2, 1591.000000, 29, 42, 
39, 003000, 24, 136, PRSH, 1074, 8, 134.250000, ZIP, 6166, 2, 3083.000000, 24, 136, 
40, 003000, 39, 155, PRSH, 2805, 8, 350.625000, ZIP, 3385, 2, 1692.500000, 39, 155, 
41, 003000, 39, 46, PRSH, 1315, 8, 164.375000, ZIP, 6575, 2, 3287.500000, 39, 46, 
42, 003000, 40, 50, PRSH, 6915, 8, 864.375000, ZIP, 2305, 2, 1152.500000, 40, 50, 
43, 003000, 15, 41, PRSH, 2015, 8, 251.875000, ZIP, 1245, 2, 622.500000, 15, 41, 
44, 003000, 24, 383, PRSH, 1845, 8, 230.625000, ZIP, 1305, 2, 652.500000, 24, 383, 
45, 003000, 32, 194, PRSH, 1812, 8, 226.500000, ZIP, 3478, 2, 1739.000000, 32, 194, 
46, 003000, 39, 225, PRSH, 1615, 8, 201.875000, ZIP, 1005, 2, 502.500000, 39, 225, 
47, 003000, 39, 197, PRSH, 1405, 8, 175.625000, ZIP, 3685, 2, 1842.500000, 39, 197, 
48, 003000, 47, 138, PRSH, 434, 8, 54.250000, ZIP, 196, 2, 98.000000, 47, 138, 
49, 003000, 28, 147, PRSH, 743, 8, 92.875000, ZIP, 3307, 2, 1653.500000, 28, 147, 
50, 003000, 50, 139, PRSH, 2754, 6, 459.000000, ZIP, 2326, 4, 581.500000, 50, 139, 
51, 003000, 22, 125, PRSH, 1352, 6, 225.333333, ZIP, 8458, 4, 2114.500000, 22, 125, 
52, 003000, 20, 144, PRSH, 1906, 6, 317.666667, ZIP, 7004, 4, 1751.000000, 20, 144, 
53, 003000, 28, 39, PRSH, 3111, 6, 518.500000, ZIP, 6829, 4, 1707.250000, 28, 39, 
54, 003000, 20, 150, PRSH, 2706, 6, 451.000000, ZIP, 6434, 4, 1608.500000, 20, 150, 
55, 003000, 38, 40, PRSH, 464, 6, 77.333333, ZIP, 7146, 4, 1786.500000, 38, 40, 
56, 003000, 32, 33, PRSH, 4548, 6, 758.000000, ZIP, 3602, 4, 900.500000, 32, 33, 
57, 003000, 39, 50, PRSH, 4706, 6, 784.333333, ZIP, 1124, 4, 281.000000, 39, 50, 
58, 003000, 40, 42, PRSH, 892, 6, 148.666667, ZIP, 1068, 4, 267.000000, 40, 42, 
59, 003000, 30, 40, PRSH, 368, 6, 61.333333, ZIP, 212, 4, 53.000000, 30, 40, 
60, 003000, 31, 37, PRSH, 358, 6, 59.666667, ZIP, 382, 4, 95.500000, 31, 37, 
61, 003000, 39, 40, PRSH, 652, 6, 108.666667, ZIP, 3998, 4, 999.500000, 39, 40, 
62, 003000, 39, 40, PRSH, 2345, 6, 390.833333, ZIP, 2735, 4, 683.750000, 39, 40, 
63, 003000, 31, 50, PRSH, 1333, 6, 222.166667, ZIP, 5127, 4, 1281.750000, 31, 50, 
64, 003000, 39, 44, PRSH, 1314, 6, 219.000000, ZIP, 5606, 4, 1401.500000, 39, 44, 
65, 003000, 36, 40, PRSH, 2847, 6, 474.500000, ZIP, 4703, 4, 1175.750000, 36, 40, 
66, 003000, 44, 50, PRSH, 1877, 6, 312.833333, ZIP, 7793, 4, 1948.250000, 44, 50, 
