expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer
151,3000,37,40, GVWY,13801,10,1380.1, PRSH,3256,10,325.6, SHVR,14117,10,1411.7, ZIC,8319,10,831.9, ZIP,14671,10,1467.1,37,40, ,,,
152,3000,30,31, GVWY,10539,10,1053.9, PRSH,3282,10,328.2, SHVR,15391,10,1539.1, ZIC,3210,10,321, ZIP,17829,10,1782.9,30,31, ,,,
153,3000,36,39, GVWY,19400,10,1940, PRSH,270,10,27, SHVR,6456,10,645.6, ZIC,2176,10,217.6, ZIP,14964,10,1496.4,36,39, ,,,
154,3000,37,40, GVWY,10516,10,1051.6, PRSH,2942,10,294.2, SHVR,15340,10,1534, ZIC,7589,10,758.9, ZIP,12505,10,1250.5,37,40, ,,,
155,3000,31,34, GVWY,12898,10,1289.8, PRSH,1346,10,134.6, SHVR,15971,10,1597.1, ZIC,7569,10,756.9, ZIP,19044,10,1904.4,31,34, ,,,
156,3000,30,34, GVWY,15778,10,1577.8, PRSH,3699,10,369.9, SHVR,11946,10,1194.6, ZIC,7194,10,719.4, ZIP,11182,10,1118.2,30,34, ,,,
157,3000,30,31, GVWY,7500,10,750, PRSH,546,10,54.6, SHVR,16258,10,1625.8, ZIC,4010,10,401, ZIP,24043,10,2404.3,30,31, ,,,
158,3000,35,41, GVWY,2942,10,294.2, PRSH,7599,10,759.9, SHVR,13243,10,1324.3, ZIC,5667,10,566.7, ZIP,12594,10,1259.4,35,41, ,,,
159,3000,32,36, GVWY,11686,10,1168.6, PRSH,6723,10,672.3, SHVR,18107,10,1810.7, ZIC,1604,10,160.4, ZIP,22454,10,2245.4,32,36, ,,,
160,3000,27,30, GVWY,7472,10,747.2, PRSH,3612,10,361.2, SHVR,31984,10,3198.4, ZIC,3621,10,362.1, ZIP,19399,10,1939.9,27,30, ,,,
161,3000,30,32, GVWY,15192,10,1519.2, PRSH,2449,10,244.9, SHVR,6675,10,667.5, ZIC,6995,10,699.5, ZIP,17482,10,1748.2,30,32, ,,,
162,3000,30,39, GVWY,21366,10,2136.6, PRSH,2302,10,230.2, SHVR,10501,10,1050.1, ZIC,11040,10,1104, ZIP,13044,10,1304.4,30,39, ,,,
163,3000,30,43, GVWY,9128,10,912.8, PRSH,802,10,80.2, SHVR,17813,10,1781.3, ZIC,7171,10,717.1, ZIP,17034,10,1703.4,30,43, ,,,
164,3000,26,35, GVWY,10571,10,1057.1, PRSH,15670,10,1567, SHVR,12665,10,1266.5, ZIC,2029,10,202.9, ZIP,24791,10,2479.1,26,35, ,,,
165,3000,32,36, GVWY,13879,10,1387.9, PRSH,7005,10,700.5, SHVR,22632,10,2263.2, ZIC,1051,10,105.1, ZIP,21963,10,2196.3,32,36, ,,,
166,3000,28,38, GVWY,18901,10,1890.1, PRSH,4011,10,401.1, SHVR,31560,10,3156, ZIC,4590,10,459, ZIP,9417,10,941.7,28,38, ,,,
167,3000,35,37, GVWY,10963,10,1096.3, PRSH,4097,10,409.7, SHVR,19934,10,1993.4, ZIC,7092,10,709.2, ZIP,18094,10,1809.4,35,37, ,,,
168,3000,32,38, GVWY,11619,10,1161.9, PRSH,5699,10,569.9, SHVR,14603,10,1460.3, ZIC,5853,10,585.3, ZIP,15704,10,1570.4,32,38, ,,,
169,3000,34,35, GVWY,9552,10,955.2, PRSH,3258,10,325.8, SHVR,25382,10,2538.2, ZIC,5531,10,553.1, ZIP,12146,10,1214.6,34,35, ,,,
170,3000,31,36, GVWY,11649,10,1164.9, PRSH,5417,10,541.7, SHVR,19999,10,1999.9, ZIC,8868,10,886.8, ZIP,8028,10,802.8,31,36, ,,,
171,3000,31,33, GVWY,19715,10,1971.5, PRSH,6871,10,687.1, SHVR,9852,10,985.2, ZIC,6633,10,663.3, ZIP,13123,10,1312.3,31,33, ,,,
172,3000,31,36, GVWY,7779,10,777.9, PRSH,6700,10,670, SHVR,24345,10,2434.5, ZIC,6484,10,648.4, ZIP,12214,10,1221.4,31,36, ,,,
173,3000,29,33, GVWY,11857,10,1185.7, PRSH,130,10,13, SHVR,15695,10,1569.5, ZIC,4740,10,474, ZIP,28731,10,2873.1,29,33, ,,,
174,3000,35,39, GVWY,7843,10,784.3, PRSH,8136,10,813.6, SHVR,17488,10,1748.8, ZIC,6222,10,622.2, ZIP,10681,10,1068.1,35,39, ,,,
175,3000,31,40, GVWY,11388,10,1138.8, PRSH,7592,10,759.2, SHVR,14070,10,1407, ZIC,3175,10,317.5, ZIP,13741,10,1374.1,31,40, ,,,
176,3000,26,35, GVWY,17258,10,1725.8, PRSH,6816,10,681.6, SHVR,11267,10,1126.7, ZIC,3765,10,376.5, ZIP,16308,10,1630.8,26,35, ,,,
177,3000,28,34, GVWY,10285,10,1028.5, PRSH,4419,10,441.9, SHVR,20516,10,2051.6, ZIC,9904,10,990.4, ZIP,17551,10,1755.1,28,34, ,,,
178,3000,31,40, GVWY,10978,10,1097.8, PRSH,4076,10,407.6, SHVR,12662,10,1266.2, ZIC,8472,10,847.2, ZIP,17677,10,1767.7,31,40, ,,,
179,3000,31,33, GVWY,12546,10,1254.6, PRSH,5067,10,506.7, SHVR,11494,10,1149.4, ZIC,6209,10,620.9, ZIP,12255,10,1225.5,31,33, ,,,
180,3000,33,34, GVWY,15876,10,1587.6, PRSH,5559,10,555.9, SHVR,20990,10,2099, ZIC,2938,10,293.8, ZIP,1663,10,166.3,33,34, ,,,
181,3000,29,41, GVWY,14116,10,1411.6, PRSH,4684,10,468.4, SHVR,17971,10,1797.1, ZIC,3598,10,359.8, ZIP,6519,10,651.9,29,41, ,,,
182,3000,33,39, GVWY,22212,10,2221.2, PRSH,6734,10,673.4, SHVR,7157,10,715.7, ZIC,1663,10,166.3, ZIP,16421,10,1642.1,33,39, ,,,
183,3000,32,36, GVWY,17121,10,1712.1, PRSH,6898,10,689.8, SHVR,5686,10,568.6, ZIC,2777,10,277.7, ZIP,16449,10,1644.9,32,36, ,,,
184,3000,29,30, GVWY,15250,10,1525, PRSH,6210,10,621, SHVR,20783,10,2078.3, ZIC,2740,10,274, ZIP,18343,10,1834.3,29,30, ,,,
185,3000,31,37, GVWY,12820,10,1282, PRSH,590,10,59, SHVR,13876,10,1387.6, ZIC,7721,10,772.1, ZIP,8341,10,834.1,31,37, ,,,
186,3000,31,32, GVWY,3100,10,310, PRSH,3492,10,349.2, SHVR,15027,10,1502.7, ZIC,5751,10,575.1, ZIP,30323,10,3032.3,31,32, ,,,
187,3000,32,34, GVWY,13175,10,1317.5, PRSH,1033,10,103.3, SHVR,9050,10,905, ZIC,6710,10,671, ZIP,14805,10,1480.5,32,34, ,,,
188,3000,28,45, GVWY,12914,10,1291.4, PRSH,7236,10,723.6, SHVR,22182,10,2218.2, ZIC,8991,10,899.1, ZIP,9585,10,958.5,28,45, ,,,
189,3000,32,33, GVWY,17702,10,1770.2, PRSH,1367,10,136.7, SHVR,8943,10,894.3, ZIC,7045,10,704.5, ZIP,16790,10,1679,32,33, ,,,
190,3000,31,40, GVWY,9507,10,950.7, PRSH,3941,10,394.1, SHVR,14624,10,1462.4, ZIC,4723,10,472.3, ZIP,22482,10,2248.2,31,40, ,,,
191,3000,29,38, GVWY,19466,10,1946.6, PRSH,5388,10,538.8, SHVR,20123,10,2012.3, ZIC,2003,10,200.3, ZIP,12247,10,1224.7,29,38, ,,,
192,3000,32,35, GVWY,6644,10,664.4, PRSH,5272,10,527.2, SHVR,15513,10,1551.3, ZIC,11031,10,1103.1, ZIP,18255,10,1825.5,32,35, ,,,
193,3000,27,31, GVWY,8452,10,845.2, PRSH,2901,10,290.1, SHVR,15413,10,1541.3, ZIC,6255,10,625.5, ZIP,16046,10,1604.6,27,31, ,,,
194,3000,29,32, GVWY,11420,10,1142, PRSH,8585,10,858.5, SHVR,21786,10,2178.6, ZIC,6436,10,643.6, ZIP,9467,10,946.7,29,32, ,,,
195,3000,32,41, GVWY,11733,10,1173.3, PRSH,153,10,15.3, SHVR,18857,10,1885.7, ZIC,9074,10,907.4, ZIP,20157,10,2015.7,32,41, ,,,
196,3000,34,38, GVWY,16054,10,1605.4, PRSH,6403,10,640.3, SHVR,14983,10,1498.3, ZIC,5926,10,592.6, ZIP,643,10,64.3,34,38, ,,,
197,3000,36,38, GVWY,13747,10,1374.7, PRSH,2566,10,256.6, SHVR,14328,10,1432.8, ZIC,4318,10,431.8, ZIP,17970,10,1797,36,38, ,,,
198,3000,32,40, GVWY,14345,10,1434.5, PRSH,6070,10,607, SHVR,6953,10,695.3, ZIC,8595,10,859.5, ZIP,13843,10,1384.3,32,40, ,,,
199,3000,32,34, GVWY,9943,10,994.3, PRSH,4710,10,471, SHVR,20631,10,2063.1, ZIC,7402,10,740.2, ZIP,17596,10,1759.6,32,34, ,,,
200,3000,25,36, GVWY,16508,10,1650.8, PRSH,7595,10,759.5, SHVR,17748,10,1774.8, ZIC,2872,10,287.2, ZIP,18357,10,1835.7,25,36, ,,,
201,3000,30,32, GVWY,16375,10,1637.5, PRSH,2948,10,294.8, SHVR,23912,10,2391.2, ZIC,7897,10,789.7, ZIP,9084,10,908.4,30,32, ,,,
202,3000,29,33, GVWY,3265,10,326.5, PRSH,10274,10,1027.4, SHVR,27032,10,2703.2, ZIC,6934,10,693.4, ZIP,10013,10,1001.3,29,33, ,,,
203,3000,22,44, GVWY,19423,10,1942.3, PRSH,11078,10,1107.8, SHVR,13712,10,1371.2, ZIC,4159,10,415.9, ZIP,13395,10,1339.5,22,44, ,,,
204,3000,31,32, GVWY,16273,10,1627.3, PRSH,4910,10,491, SHVR,19669,10,1966.9, ZIC,5872,10,587.2, ZIP,11593,10,1159.3,31,32, ,,,
205,3000,35,38, GVWY,8475,10,847.5, PRSH,363,10,36.3, SHVR,21486,10,2148.6, ZIC,2687,10,268.7, ZIP,19562,10,1956.2,35,38, ,,,
206,3000,34,38, GVWY,18589,10,1858.9, PRSH,4108,10,410.8, SHVR,13875,10,1387.5, ZIC,5393,10,539.3, ZIP,8888,10,888.8,34,38, ,,,
207,3000,32,38, GVWY,12086,10,1208.6, PRSH,5363,10,536.3, SHVR,12047,10,1204.7, ZIC,4994,10,499.4, ZIP,14726,10,1472.6,32,38, ,,,
208,3000,30,35, GVWY,11837,10,1183.7, PRSH,4715,10,471.5, SHVR,13327,10,1332.7, ZIC,11738,10,1173.8, ZIP,11528,10,1152.8,30,35, ,,,
209,3000,33,40, GVWY,11707,10,1170.7, PRSH,5639,10,563.9, SHVR,10449,10,1044.9, ZIC,8044,10,804.4, ZIP,17714,10,1771.4,33,40, ,,,
210,3000,29,35, GVWY,11750,10,1175, PRSH,6550,10,655, SHVR,17731,10,1773.1, ZIC,4241,10,424.1, ZIP,5110,10,511,29,35, ,,,
211,3000,36,38, GVWY,20578,10,2057.8, PRSH,2974,10,297.4, SHVR,21098,10,2109.8, ZIC,4870,10,487, ZIP,13391,10,1339.1,36,38, ,,,
212,3000,30,34, GVWY,7311,10,731.1, PRSH,4669,10,466.9, SHVR,20144,10,2014.4, ZIC,7591,10,759.1, ZIP,12839,10,1283.9,30,34, ,,,
213,3000,31,38, GVWY,12914,10,1291.4, PRSH,1500,10,150, SHVR,21190,10,2119, ZIC,5718,10,571.8, ZIP,18126,10,1812.6,31,38, ,,,
214,3000,31,35, GVWY,18487,10,1848.7, PRSH,2290,10,229, SHVR,20450,10,2045, ZIC,3570,10,357, ZIP,18786,10,1878.6,31,35, ,,,
215,3000,32,35, GVWY,15956,10,1595.6, PRSH,8618,10,861.8, SHVR,5278,10,527.8, ZIC,6819,10,681.9, ZIP,12974,10,1297.4,32,35, ,,,
216,3000,30,34, GVWY,17777,10,1777.7, PRSH,1293,10,129.3, SHVR,15237,10,1523.7, ZIC,3891,10,389.1, ZIP,10391,10,1039.1,30,34, ,,,
217,3000,25,40, GVWY,21623,10,2162.3, PRSH,8827,10,882.7, SHVR,7616,10,761.6, ZIC,3336,10,333.6, ZIP,12538,10,1253.8,25,40, ,,,
218,3000,28,43, GVWY,13442,10,1344.2, PRSH,986,10,98.6, SHVR,5230,10,523, ZIC,7306,10,730.6, ZIP,25853,10,2585.3,28,43, ,,,
219,3000,34,39, GVWY,17146,10,1714.6, PRSH,2442,10,244.2, SHVR,13893,10,1389.3, ZIC,5534,10,553.4, ZIP,5567,10,556.7,34,39, ,,,
220,3000,29,41, GVWY,16541,10,1654.1, PRSH,9492,10,949.2, SHVR,13106,10,1310.6, ZIC,4098,10,409.8, ZIP,3988,10,398.8,29,41, ,,,
221,3000,30,37, GVWY,11754,10,1175.4, PRSH,87,10,8.7, SHVR,24210,10,2421, ZIC,10077,10,1007.7, ZIP,18617,10,1861.7,30,37, ,,,
222,3000,32,33, GVWY,13407,10,1340.7, PRSH,6604,10,660.4, SHVR,15942,10,1594.2, ZIC,8247,10,824.7, ZIP,9867,10,986.7,32,33, ,,,
223,3000,30,33, GVWY,19808,10,1980.8, PRSH,1300,10,130, SHVR,23230,10,2323, ZIC,3486,10,348.6, ZIP,5625,10,562.5,30,33, ,,,
224,3000,30,40, GVWY,17788,10,1778.8, PRSH,4989,10,498.9, SHVR,11571,10,1157.1, ZIC,5660,10,566, ZIP,18172,10,1817.2,30,40, ,,,
225,3000,28,40, GVWY,21169,10,2116.9, PRSH,4215,10,421.5, SHVR,15418,10,1541.8, ZIC,3100,10,310, ZIP,12541,10,1254.1,28,40, ,,,
226,3000,33,34, GVWY,11445,10,1144.5, PRSH,8752,10,875.2, SHVR,22182,10,2218.2, ZIC,3393,10,339.3, ZIP,9575,10,957.5,33,34, ,,,
227,3000,32,33, GVWY,14663,10,1466.3, PRSH,488,10,48.8, SHVR,8172,10,817.2, ZIC,10043,10,1004.3, ZIP,18787,10,1878.7,32,33, ,,,
228,3000,31,41, GVWY,10700,10,1070, PRSH,12733,10,1273.3, SHVR,14736,10,1473.6, ZIC,6280,10,628, ZIP,2171,10,217.1,31,41, ,,,
229,3000,32,37, GVWY,9683,10,968.3, PRSH,6846,10,684.6, SHVR,19126,10,1912.6, ZIC,3023,10,302.3, ZIP,14078,10,1407.8,32,37, ,,,
230,3000,33,35, GVWY,14930,10,1493, PRSH,1383,10,138.3, SHVR,30581,10,3058.1, ZIC,5343,10,534.3, ZIP,5452,10,545.2,33,35, ,,,
231,3000,30,33, GVWY,7436,10,743.6, PRSH,6129,10,612.9, SHVR,23910,10,2391, ZIC,8502,10,850.2, ZIP,7399,10,739.9,30,33, ,,,
232,3000,27,36, GVWY,6555,10,655.5, PRSH,9620,10,962, SHVR,25074,10,2507.4, ZIC,4493,10,449.3, ZIP,15122,10,1512.2,27,36, ,,,
233,3000,28,34, GVWY,17416,10,1741.6, PRSH,4434,10,443.4, SHVR,10893,10,1089.3, ZIC,8611,10,861.1, ZIP,8680,10,868,28,34, ,,,
234,3000,33,38, GVWY,7403,10,740.3, PRSH,6910,10,691, SHVR,17848,10,1784.8, ZIC,2491,10,249.1, ZIP,17750,10,1775,33,38, ,,,
235,3000,38,39, GVWY,8966,10,896.6, PRSH,6290,10,629, SHVR,5957,10,595.7, ZIC,9628,10,962.8, ZIP,19819,10,1981.9,38,39, ,,,
236,3000,34,36, GVWY,9109,10,910.9, PRSH,8020,10,802, SHVR,20089,10,2008.9, ZIC,5317,10,531.7, ZIP,11456,10,1145.6,34,36, ,,,
237,3000,34,35, GVWY,16863,10,1686.3, PRSH,998,10,99.8, SHVR,14651,10,1465.1, ZIC,2709,10,270.9, ZIP,14474,10,1447.4,34,35, ,,,
238,3000,31,41, GVWY,13501,10,1350.1, PRSH,3207,10,320.7, SHVR,10710,10,1071, ZIC,8500,10,850, ZIP,10602,10,1060.2,31,41, ,,,
239,3000,30,33, GVWY,10901,10,1090.1, PRSH,6545,10,654.5, SHVR,16999,10,1699.9, ZIC,9792,10,979.2, ZIP,13480,10,1348,30,33, ,,,
240,3000,32,34, GVWY,16761,10,1676.1, PRSH,3766,10,376.6, SHVR,7281,10,728.1, ZIC,7229,10,722.9, ZIP,13942,10,1394.2,32,34, ,,,
241,3000,27,37, GVWY,11626,10,1162.6, PRSH,4553,10,455.3, SHVR,18431,10,1843.1, ZIC,3589,10,358.9, ZIP,11623,10,1162.3,27,37, ,,,
242,3000,29,35, GVWY,7540,10,754, PRSH,4246,10,424.6, SHVR,20416,10,2041.6, ZIC,6524,10,652.4, ZIP,23162,10,2316.2,29,35, ,,,
243,3000,30,32, GVWY,8670,10,867, PRSH,4840,10,484, SHVR,26121,10,2612.1, ZIC,4946,10,494.6, ZIP,15178,10,1517.8,30,32, ,,,
244,3000,35,36, GVWY,9238,10,923.8, PRSH,6240,10,624, SHVR,19873,10,1987.3, ZIC,4443,10,444.3, ZIP,8835,10,883.5,35,36, ,,,
245,3000,26,28, GVWY,16137,10,1613.7, PRSH,2465,10,246.5, SHVR,13893,10,1389.3, ZIC,7415,10,741.5, ZIP,21477,10,2147.7,26,28, ,,,
246,3000,33,35, GVWY,23364,10,2336.4, PRSH,8202,10,820.2, SHVR,9609,10,960.9, ZIC,3063,10,306.3, ZIP,9625,10,962.5,33,35, ,,,
247,3000,31,35, GVWY,11868,10,1186.8, PRSH,6193,10,619.3, SHVR,15548,10,1554.8, ZIC,3040,10,304, ZIP,15705,10,1570.5,31,35, ,,,
248,3000,39,40, GVWY,11899,10,1189.9, PRSH,6178,10,617.8, SHVR,21639,10,2163.9, ZIC,6386,10,638.6, ZIP,4474,10,447.4,39,40, ,,,
249,3000,30,32, GVWY,13078,10,1307.8, PRSH,968,10,96.8, SHVR,26499,10,2649.9, ZIC,4194,10,419.4, ZIP,11006,10,1100.6,30,32, ,,,
