expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer
34,3000,41,43, GVWY,18698,10,1869.8, PRSH,2672,10,267.2, SHVR,8294,10,829.4, ZIC,9276,10,927.6, ZIP,10767,10,1076.7,41,43, ,,,
35,3000,30,31, GVWY,19245,10,1924.5, PRSH,3416,10,341.6, SHVR,18866,10,1886.6, ZIC,10087,10,1008.7, ZIP,11521,10,1152.1,30,31, ,,,
36,3000,25,34, GVWY,8503,10,850.3, PRSH,5932,10,593.2, SHVR,18814,10,1881.4, ZIC,6091,10,609.1, ZIP,22795,10,2279.5,25,34, ,,,
37,3000,34,36, GVWY,4008,10,400.8, PRSH,5717,10,571.7, SHVR,17286,10,1728.6, ZIC,9941,10,994.1, ZIP,19665,10,1966.5,34,36, ,,,
38,3000,31,38, GVWY,7725,10,772.5, PRSH,1803,10,180.3, SHVR,14782,10,1478.2, ZIC,5664,10,566.4, ZIP,17514,10,1751.4,31,38, ,,,
39,3000,25,35, GVWY,22358,10,2235.8, PRSH,5076,10,507.6, SHVR,11645,10,1164.5, ZIC,8812,10,881.2, ZIP,16392,10,1639.2,25,35, ,,,
40,3000,31,33, GVWY,10754,10,1075.4, PRSH,10214,10,1021.4, SHVR,5414,10,541.4, ZIC,4812,10,481.2, ZIP,16206,10,1620.6,31,33, ,,,
41,3000,31,38, GVWY,16178,10,1617.8, PRSH,1208,10,120.8, SHVR,11640,10,1164, ZIC,6444,10,644.4, ZIP,14472,10,1447.2,31,38, ,,,
42,3000,33,35, GVWY,13469,10,1346.9, PRSH,178,10,17.8, SHVR,4459,10,445.9, ZIC,7437,10,743.7, ZIP,30186,10,3018.6,33,35, ,,,
43,3000,35,36, GVWY,16360,10,1636, PRSH,595,10,59.5, SHVR,24559,10,2455.9, ZIC,2219,10,221.9, ZIP,13496,10,1349.6,35,36, ,,,
44,3000,31,40, GVWY,16024,10,1602.4, PRSH,2725,10,272.5, SHVR,19289,10,1928.9, ZIC,10554,10,1055.4, ZIP,6283,10,628.3,31,40, ,,,
45,3000,30,33, GVWY,10803,10,1080.3, PRSH,5256,10,525.6, SHVR,21221,10,2122.1, ZIC,8756,10,875.6, ZIP,10337,10,1033.7,30,33, ,,,
46,3000,31,38, GVWY,5019,10,501.9, PRSH,5888,10,588.8, SHVR,18404,10,1840.4, ZIC,7299,10,729.9, ZIP,16065,10,1606.5,31,38, ,,,
47,3000,21,31, GVWY,17889,10,1788.9, PRSH,5165,10,516.5, SHVR,9798,10,979.8, ZIC,2510,10,251, ZIP,25939,10,2593.9,21,31, ,,,
48,3000,29,36, GVWY,17169,10,1716.9, PRSH,121,10,12.1, SHVR,16312,10,1631.2, ZIC,6547,10,654.7, ZIP,6909,10,690.9,29,36, ,,,
49,3000,33,36, GVWY,6391,10,639.1, PRSH,4333,10,433.3, SHVR,13866,10,1386.6, ZIC,6815,10,681.5, ZIP,13270,10,1327,33,36, ,,,
50,3000,28,31, GVWY,10954,10,1095.4, PRSH,5488,10,548.8, SHVR,18890,10,1889, ZIC,3519,10,351.9, ZIP,17923,10,1792.3,28,31, ,,,
51,3000,27,31, GVWY,12017,10,1201.7, PRSH,3750,10,375, SHVR,17962,10,1796.2, ZIC,825,10,82.5, ZIP,22108,10,2210.8,27,31, ,,,
52,3000,36,38, GVWY,14463,10,1446.3, PRSH,8402,10,840.2, SHVR,9167,10,916.7, ZIC,1743,10,174.3, ZIP,8027,10,802.7,36,38, ,,,
53,3000,32,34, GVWY,8481,10,848.1, PRSH,12633,10,1263.3, SHVR,19141,10,1914.1, ZIC,1928,10,192.8, ZIP,5812,10,581.2,32,34, ,,,
54,3000,34,36, GVWY,15607,10,1560.7, PRSH,3069,10,306.9, SHVR,13235,10,1323.5, ZIC,3393,10,339.3, ZIP,18684,10,1868.4,34,36, ,,,
55,3000,32,33, GVWY,13722,10,1372.2, PRSH,5185,10,518.5, SHVR,14522,10,1452.2, ZIC,2153,10,215.3, ZIP,22738,10,2273.8,32,33, ,,,
56,3000,30,33, GVWY,7573,10,757.3, PRSH,6128,10,612.8, SHVR,17428,10,1742.8, ZIC,11363,10,1136.3, ZIP,14918,10,1491.8,30,33, ,,,
57,3000,32,45, GVWY,17353,10,1735.3, PRSH,6741,10,674.1, SHVR,9082,10,908.2, ZIC,5136,10,513.6, ZIP,7671,10,767.1,32,45, ,,,
58,3000,30,31, GVWY,10456,10,1045.6, PRSH,2823,10,282.3, SHVR,14687,10,1468.7, ZIC,4077,10,407.7, ZIP,25669,10,2566.9,30,31, ,,,
59,3000,34,36, GVWY,23345,10,2334.5, PRSH,1706,10,170.6, SHVR,11503,10,1150.3, ZIC,3221,10,322.1, ZIP,15729,10,1572.9,34,36, ,,,
60,3000,33,40, GVWY,12415,10,1241.5, PRSH,3595,10,359.5, SHVR,11204,10,1120.4, ZIC,4952,10,495.2, ZIP,19736,10,1973.6,33,40, ,,,
61,3000,33,34, GVWY,12575,10,1257.5, PRSH,2299,10,229.9, SHVR,15003,10,1500.3, ZIC,4823,10,482.3, ZIP,19668,10,1966.8,33,34, ,,,
62,3000,33,36, GVWY,10647,10,1064.7, PRSH,2057,10,205.7, SHVR,16639,10,1663.9, ZIC,8152,10,815.2, ZIP,14818,10,1481.8,33,36, ,,,
63,3000,30,33, GVWY,20484,10,2048.4, PRSH,2644,10,264.4, SHVR,7193,10,719.3, ZIC,5889,10,588.9, ZIP,22866,10,2286.6,30,33, ,,,
