expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 39, 50, PRSH, 760, 8, 95.000000, ZIP, 0, 2, 0.000000, 39, 50, 
1, 003000, 49, 84, PRSH, 4188, 8, 523.500000, ZIP, 592, 2, 296.000000, 49, 84, 
2, 003000, 31, 41, PRSH, 1510, 8, 188.750000, ZIP, 3600, 2, 1800.000000, 31, 41, 
3, 003000, 45, 46, PRSH, 11812, 8, 1476.500000, ZIP, 68, 2, 34.000000, 45, 46, 
4, 003000, 40, 51, PRSH, 5180, 8, 647.500000, ZIP, 0, 2, 0.000000, 40, 51, 
5, 003000, 39, 46, PRSH, 983, 8, 122.875000, ZIP, 8567, 2, 4283.500000, 39, 46, 
6, 003000, 45, 55, PRSH, 1204, 8, 150.500000, ZIP, 16, 2, 8.000000, 45, 55, 
7, 003000, 38, 45, PRSH, 1187, 8, 148.375000, ZIP, 1423, 2, 711.500000, 38, 45, 
8, 003000, 49, 61, PRSH, 8800, 8, 1100.000000, ZIP, 340, 2, 170.000000, 49, 61, 
9, 003000, 38, 106, PRSH, 499, 8, 62.375000, ZIP, 4381, 2, 2190.500000, 38, 106, 
10, 003000, 43, 266, PRSH, 1425, 8, 178.125000, ZIP, 1405, 2, 702.500000, 43, 266, 
11, 003000, 29, 46, PRSH, 2461, 8, 307.625000, ZIP, 1149, 2, 574.500000, 29, 46, 
12, 003000, 30, 46, PRSH, 1325, 8, 165.625000, ZIP, 5825, 2, 2912.500000, 30, 46, 
13, 003000, 34, 40, PRSH, 568, 8, 71.000000, ZIP, 3762, 2, 1881.000000, 34, 40, 
14, 003000, 41, 51, PRSH, 1062, 8, 132.750000, ZIP, 308, 2, 154.000000, 41, 51, 
15, 003000, 35, 87, PRSH, 1718, 8, 214.750000, ZIP, 8862, 2, 4431.000000, 35, 87, 
16, 003000, 29, 47, PRSH, 1136, 8, 142.000000, ZIP, 5814, 2, 2907.000000, 29, 47, 
17, 003000, 30, 45, PRSH, 1501, 8, 187.625000, ZIP, 8429, 2, 4214.500000, 30, 45, 
18, 003000, 37, 47, PRSH, 961, 8, 120.125000, ZIP, 6789, 2, 3394.500000, 37, 47, 
19, 003000, 48, 344, PRSH, 1452, 8, 181.500000, ZIP, 3758, 2, 1879.000000, 48, 344, 
20, 003000, 34, 122, PRSH, 2173, 8, 271.625000, ZIP, 8477, 2, 4238.500000, 34, 122, 
21, 003000, 24, 229, PRSH, 694, 8, 86.750000, ZIP, 7836, 2, 3918.000000, 24, 229, 
22, 003000, 31, 302, PRSH, 1670, 8, 208.750000, ZIP, 3550, 2, 1775.000000, 31, 302, 
23, 003000, 36, 237, PRSH, 442, 8, 55.250000, ZIP, 4348, 2, 2174.000000, 36, 237, 
24, 003000, 39, 237, PRSH, 2020, 8, 252.500000, ZIP, 3370, 2, 1685.000000, 39, 237, 
25, 003000, 39, 55, PRSH, 3128, 8, 391.000000, ZIP, 812, 2, 406.000000, 39, 55, 
26, 003000, 37, 41, PRSH, 765, 8, 95.625000, ZIP, 1775, 2, 887.500000, 37, 41, 
