expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 003000, 44, 50, PRSH, 10931, 8, 1366.375000, ZIP, 89, 2, 44.500000, 44, 50, 
1, 003000, 39, 218, PRSH, 1716, 8, 214.500000, ZIP, 9074, 2, 4537.000000, 39, 218, 
2, 003000, 39, 44, PRSH, 843, 8, 105.375000, ZIP, 8397, 2, 4198.500000, 39, 44, 
3, 003000, 34, 42, PRSH, 1179, 8, 147.375000, ZIP, 1371, 2, 685.500000, 34, 42, 
4, 003000, 30, 109, PRSH, 1997, 8, 249.625000, ZIP, 3373, 2, 1686.500000, 30, 109, 
5, 003000, 46, 151, PRSH, 940, 8, 117.500000, ZIP, 640, 2, 320.000000, 46, 151, 
6, 003000, 28, 43, PRSH, 1569, 8, 196.125000, ZIP, 5991, 2, 2995.500000, 28, 43, 
7, 003000, 37, 169, PRSH, 1395, 8, 174.375000, ZIP, 6275, 2, 3137.500000, 37, 169, 
8, 003000, 46, 251, PRSH, 810, 8, 101.250000, ZIP, 8290, 2, 4145.000000, 46, 251, 
9, 003000, 39, 40, PRSH, 4800, 8, 600.000000, ZIP, 1680, 2, 840.000000, 39, 40, 
10, 003000, 37, 120, PRSH, 1380, 8, 172.500000, ZIP, 0, 2, 0.000000, 37, 120, 
11, 003000, 30, 267, PRSH, 1770, 8, 221.250000, ZIP, 3700, 2, 1850.000000, 30, 267, 
12, 003000, 39, 141, PRSH, 1296, 8, 162.000000, ZIP, 9204, 2, 4602.000000, 39, 141, 
13, 003000, 29, 153, PRSH, 2221, 8, 277.625000, ZIP, 3689, 2, 1844.500000, 29, 153, 
14, 003000, 37, 47, PRSH, 1249, 8, 156.125000, ZIP, 6111, 2, 3055.500000, 37, 47, 
15, 003000, 49, 189, PRSH, 833, 8, 104.125000, ZIP, 7937, 2, 3968.500000, 49, 189, 
16, 003000, 34, 118, PRSH, 964, 8, 120.500000, ZIP, 9266, 2, 4633.000000, 34, 118, 
17, 003000, 48, 157, PRSH, 1313, 8, 164.125000, ZIP, 27, 2, 13.500000, 48, 157, 
18, 003000, 33, 42, PRSH, 1080, 8, 135.000000, ZIP, 6410, 2, 3205.000000, 33, 42, 
19, 003000, 49, 50, PRSH, 450, 8, 56.250000, ZIP, 0, 2, 0.000000, 49, 50, 
20, 003000, 39, 50, PRSH, 6041, 8, 755.125000, ZIP, 19, 2, 9.500000, 39, 50, 
21, 003000, 35, 159, PRSH, 844, 8, 105.500000, ZIP, 636, 2, 318.000000, 35, 159, 
22, 003000, 19, 58, PRSH, 10092, 8, 1261.500000, ZIP, 1968, 2, 984.000000, 19, 58, 
23, 003000, 48, 257, PRSH, 763, 8, 95.375000, ZIP, 8027, 2, 4013.500000, 48, 257, 
24, 003000, 39, 41, PRSH, 769, 8, 96.125000, ZIP, 711, 2, 355.500000, 39, 41, 
25, 003000, 40, 51, PRSH, 800, 8, 100.000000, ZIP, 0, 2, 0.000000, 40, 51, 
26, 003000, 41, 51, PRSH, 1167, 8, 145.875000, ZIP, 13, 2, 6.500000, 41, 51, 
27, 003000, 38, 205, PRSH, 894, 8, 111.750000, ZIP, 7476, 2, 3738.000000, 38, 205, 
28, 003000, 20, 105, PRSH, 3650, 8, 456.250000, ZIP, 2850, 2, 1425.000000, 20, 105, 
29, 003000, 40, 41, PRSH, 296, 8, 37.000000, ZIP, 114, 2, 57.000000, 40, 41, 
30, 003000, 35, 47, PRSH, 1250, 8, 156.250000, ZIP, 8560, 2, 4280.000000, 35, 47, 
31, 003000, 39, 250, PRSH, 1540, 8, 192.500000, ZIP, 6510, 2, 3255.000000, 39, 250, 
32, 003000, 48, 278, PRSH, 2071, 8, 258.875000, ZIP, 1019, 2, 509.500000, 48, 278, 
33, 003000, 46, 59, PRSH, 980, 8, 122.500000, ZIP, 0, 2, 0.000000, 46, 59, 
34, 003000, 29, 45, PRSH, 1744, 8, 218.000000, ZIP, 8536, 2, 4268.000000, 29, 45, 
35, 003000, 48, 228, PRSH, 1410, 8, 176.250000, ZIP, 3850, 2, 1925.000000, 48, 228, 
36, 003000, 41, 50, PRSH, 876, 8, 109.500000, ZIP, 4174, 2, 2087.000000, 41, 50, 
37, 003000, 34, 45, PRSH, 1021, 8, 127.625000, ZIP, 4949, 2, 2474.500000, 34, 45, 
38, 003000, 29, 218, PRSH, 1901, 8, 237.625000, ZIP, 3289, 2, 1644.500000, 29, 218, 
39, 003000, 40, 109, PRSH, 1960, 8, 245.000000, ZIP, 5960, 2, 2980.000000, 40, 109, 
40, 003000, 40, 187, PRSH, 775, 8, 96.875000, ZIP, 8025, 2, 4012.500000, 40, 187, 
41, 003000, 38, 83, PRSH, 187, 8, 23.375000, ZIP, 3723, 2, 1861.500000, 38, 83, 
42, 003000, 40, 41, PRSH, 107, 8, 13.375000, ZIP, 513, 2, 256.500000, 40, 41, 
43, 003000, 28, 103, PRSH, 2459, 8, 307.375000, ZIP, 5871, 2, 2935.500000, 28, 103, 
44, 003000, 39, 280, PRSH, 1059, 8, 132.375000, ZIP, 8381, 2, 4190.500000, 39, 280, 
45, 003000, 43, 159, PRSH, 1046, 8, 130.750000, ZIP, 1494, 2, 747.000000, 43, 159, 
46, 003000, 43, 49, PRSH, 1283, 8, 160.375000, ZIP, 1447, 2, 723.500000, 43, 49, 
47, 003000, 39, 63, PRSH, 1016, 8, 127.000000, ZIP, 8564, 2, 4282.000000, 39, 63, 
48, 003000, 46, 50, PRSH, 4180, 8, 522.500000, ZIP, 0, 2, 0.000000, 46, 50, 
49, 003000, 39, 40, PRSH, 221, 8, 27.625000, ZIP, 2269, 2, 1134.500000, 39, 40, 
50, 003000, 39, 50, PRSH, 2304, 6, 384.000000, ZIP, 916, 4, 229.000000, 39, 50, 
51, 003000, 34, 35, PRSH, 2129, 6, 354.833333, ZIP, 4571, 4, 1142.750000, 34, 35, 
52, 003000, 31, 107, PRSH, 2043, 6, 340.500000, ZIP, 3787, 4, 946.750000, 31, 107, 
53, 003000, 31, 33, PRSH, 2008, 6, 334.666667, ZIP, 6012, 4, 1503.000000, 31, 33, 
54, 003000, 39, 50, PRSH, 1051, 6, 175.166667, ZIP, 1279, 4, 319.750000, 39, 50, 
55, 003000, 38, 41, PRSH, 3227, 6, 537.833333, ZIP, 7483, 4, 1870.750000, 38, 41, 
56, 003000, 33, 34, PRSH, 242, 6, 40.333333, ZIP, 808, 4, 202.000000, 33, 34, 
57, 003000, 39, 50, PRSH, 578, 6, 96.333333, ZIP, 382, 4, 95.500000, 39, 50, 
58, 003000, 38, 46, PRSH, 1188, 6, 198.000000, ZIP, 7952, 4, 1988.000000, 38, 46, 
59, 003000, 43, 44, PRSH, 905, 6, 150.833333, ZIP, 3455, 4, 863.750000, 43, 44, 
60, 003000, 39, 41, PRSH, 434, 6, 72.333333, ZIP, 296, 4, 74.000000, 39, 41, 
61, 003000, 31, 34, PRSH, 2166, 6, 361.000000, ZIP, 6274, 4, 1568.500000, 31, 34, 
62, 003000, 34, 36, PRSH, 3944, 6, 657.333333, ZIP, 3816, 4, 954.000000, 34, 36, 
63, 003000, 31, 33, PRSH, 1855, 6, 309.166667, ZIP, 2465, 4, 616.250000, 31, 33, 
64, 003000, 39, 41, PRSH, 221, 6, 36.833333, ZIP, 3009, 4, 752.250000, 39, 41, 
65, 003000, 31, 39, PRSH, 6928, 6, 1154.666667, ZIP, 4872, 4, 1218.000000, 31, 39, 
66, 003000, 30, 31, PRSH, 8, 6, 1.333333, ZIP, 952, 4, 238.000000, 30, 31, 
67, 003000, 35, 50, PRSH, 3466, 6, 577.666667, ZIP, 664, 4, 166.000000, 35, 50, 
68, 003000, 38, 39, PRSH, 3705, 6, 617.500000, ZIP, 7125, 4, 1781.250000, 38, 39, 
69, 003000, 37, 50, PRSH, 814, 6, 135.666667, ZIP, 3736, 4, 934.000000, 37, 50, 
70, 003000, 39, 46, PRSH, 1855, 6, 309.166667, ZIP, 1215, 4, 303.750000, 39, 46, 
71, 003000, 23, 139, PRSH, 1347, 6, 224.500000, ZIP, 3613, 4, 903.250000, 23, 139, 
72, 003000, 47, 50, PRSH, 1022, 6, 170.333333, ZIP, 1228, 4, 307.000000, 47, 50, 
